Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,22396,138.1732,0:00:22,220750,4.72
Suggested videos,9842,66.0079,0:00:24,96565,5.54
Browse features,4586,21.5688,0:00:16,77994,4.57
External,1945,13.8916,0:00:25,,
Shorts feed,1729,10.6588,0:00:22,,
Playlists,1358,9.4592,0:00:25,9955,5.18
Channel pages,1114,7.2676,0:00:23,26755,2.5
Other YouTube features,643,3.9682,0:00:22,,
YouTube search,412,1.4926,0:00:13,9481,3.47
Direct or unknown,281,1.4272,0:00:18,,
Notifications,252,1.1298,0:00:16,,
End screens,199,1.1146,0:00:20,,
Hashtag pages,18,0.0828,0:00:16,,
Video cards and annotations,10,0.0473,0:00:17,,
Related Shorts,7,0.0569,0:00:29,,
