Date,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
30/05/2023,0,42,9,0.214285714,1,0,6,1,0,0,0,0,0,0,0,0,0,2,1
31/05/2023,0,9,2,0.222222222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1/06/2023,0,12,7,0.583333333,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2/06/2023,0,9,3,0.333333333,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3/06/2023,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/06/2023,0,27,12,0.444444444,2,0,7,1,1,0,1,0,0,0,0,0,0,0,0
6/06/2023,0,23,11,0.47826087,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0
7/06/2023,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/06/2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/06/2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/06/2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2023,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/06/2023,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/06/2023,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/06/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/06/2023,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/06/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/06/2023,1,27,24,0.888888889,2,0,7,0,6,0,1,0,0,0,0,0,0,8,8
20/06/2023,0,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
21/06/2023,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/06/2023,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/06/2023,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/06/2023,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/06/2023,1,20,24,1.2,1,0,6,0,10,0,0,0,0,0,0,0,0,7,7
26/06/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
