Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,2170,7.9708,-2,30682,3.99
sCJC6p71Urk,4 water models in Roblox,"Dec 6, 2021",183,0.5135,0,3464,3.75
TWmFQnD7L08,Small wave water effects in Roblox,"Nov 23, 2021",136,0.2677,0,1250,8.72
4s1z9NtmzOc,Small waves made by hand generating electricity,"Jan 26, 2022",94,0.237,0,1388,4.76
4tL-y_KUw6k,Vesselless cargo canal propellers,"Oct 24, 2024",66,0.2663,0,479,3.34
qaLvwXxF_kU,Vesselless cargo coastal water jets,"Nov 12, 2024",62,0.2606,0,654,3.36
6QXuK1sSTOo,Whirlpool made with Roblox,"Nov 25, 2021",60,0.1053,0,413,10.65
WTz1PTYYEAs,Oscillating water column made with SketchUp,"Nov 29, 2021",56,0.1889,0,393,12.98
MocnwWpL9T4,Whirlpool designed in Blender,"May 17, 2022",52,0.1266,0,371,9.16
lxHfrn8xjIU,Depollution harbor propellers,"Oct 31, 2024",52,0.2195,0,256,2.73
9EW8DGOJcgs,Holosurfing setup walk around,"Mar 28, 2023",49,0.3345,0,25,0
G38KbEOVCRY,Motor spinning small propeller to shape water,"Jan 25, 2022",48,0.165,0,486,6.79
Whb_OZtD214,Vesselless cargo river propellers,"Nov 10, 2024",48,0.2017,0,308,2.27
KGBHkzkMEl0,Vesselless cargo canal water jets,"Nov 9, 2024",45,0.1981,0,140,3.57
6uxwOARPj3M,Blender simulation of pipe water flow,"Apr 2, 2022",43,0.0686,0,1001,3.3
R1KFM0aTNYs,Roblox whirlpool,"Mar 4, 2022",41,0.0973,0,295,8.47
ypBwUzNFxbU,Depollution river water jets,"Oct 29, 2024",40,0.1689,0,553,1.27
6HsBRAoDBFA,Vesselless cargo bay water jets,"Oct 26, 2024",39,0.1534,0,431,2.09
IpPB3uxei1g,Bathtub wave energy,"Sep 5, 2022",39,0.142,0,1015,2.46
0YAurlPC7QU,Bathtub wave energy attenuator,"Sep 8, 2022",38,0.1709,0,377,7.43
CC7RzYOWzoQ,Depollution river propellers,"Nov 5, 2024",36,0.1492,0,229,3.49
S3ck930GsDM,Bathtub Oscillating Water Column,"Sep 3, 2022",36,0.1346,0,798,3.13
03-keaq9qMo,Depollution coast water jets,"Nov 3, 2024",35,0.1437,0,543,2.03
hJNZYaORDfY,Roblox Whirlpool Making,"Mar 31, 2022",35,0.1303,0,326,7.67
zSHUpOi7z9k,Overtopping wave energy device with SketchUp,"Dec 3, 2021",35,0.2255,0,285,11.93
V2-vkQ25KP8,Vesselless cargo harbor propellers,"Nov 14, 2024",34,0.1496,0,191,3.14
1eEAYxUBGdw,Bathtub wave energy attenuator,"Sep 2, 2022",31,0.1124,0,507,4.14
HGPhInEbqT4,Depollution harbor water jets,"Nov 6, 2024",31,0.1309,0,265,2.64
