Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,5085,40.3447,15,48219,5.55
ilwP8vkZ0p4,Corridor of sound objects,"Feb 14, 2024",1808,9.8821,10,23278,6.87
JqN1TakVLQ8,Small frame passes through large frame         #soundframe #soundmovement #speakerarray #speakers,"Oct 31, 2024",569,2.7781,1,2159,0.93
MMSuAHdsayo,Horizontal sound object elevators        #lift #elevatormusic #horizontal #soundobject #soundlift,"Oct 20, 2024",430,2.6283,0,587,1.19
U7JHTvqlTPI,Sound object tunnels & transitions,"Sep 29, 2024",228,2.0766,0,1594,8.34
WPr3chQeTgM,Cascading sound cubes                  #cascades #watefall #rain #soundcube #descending #falling,"Oct 22, 2024",133,1.986,0,265,1.51
O_-ZQP-QvHE,Framing sound objects                #frames #framing #speakerarray #speakers #soundobject #sound,"Oct 27, 2024",123,3.2758,0,254,3.94
jF48v9dwzR0,Sound cube cluster rises & falls           #soundcube #soundcluster #rise #fall #speakerarray,"Nov 4, 2024",111,1.7115,0,138,4.35
4U2b21KoDpc,Sound object logic gates,"Oct 23, 2024",107,1.2092,0,1359,3.46
c8Zl6qzSUSY,Sound object labyrinth,"Sep 20, 2024",94,1.1118,0,803,4.61
J-jEXtcFTEw,Sound Cylinder Room & Sound Sphere Room,"Feb 4, 2024",88,0.8316,0,764,7.07
KwKIEiNnkn4,Varying sound object towers,"Oct 3, 2024",87,1.4072,1,793,4.79
J7BFT4R7nVU,Pair of sound cube boxes                    #pair #cubes #boxes #speakerarray #soundobject #random,"Oct 20, 2024",62,0.87,0,399,1.5
 -cswUVHXMcM,Up & down sound object towers,"Apr 3, 2024",59,0.7176,0,265,10.19
SSArunbOWvo,Frame of a speaker array torus,"Mar 4, 2024",58,0.29,0,430,12.79
2dCFfdDqobU,Sound object boxes move to side,"Oct 25, 2024",57,0.5927,1,802,2.49
RCS4joPgGcc,Sound Pyramid Tunnel & Sound Hemisphere Room,"Feb 26, 2024",50,0.2899,0,763,3.67
4uXQTuI0NDw,Rotating around sound object scaffolds,"May 13, 2023",48,0.1062,0,559,7.69
N_e7sKur1no,Diagonal sound object elevator                       #elevator #lift #speakerarray #soundobject,"Oct 17, 2024",45,0.2269,0,311,0.32
mZ5aC_5DtxY,Changing sound object towers,"Sep 13, 2024",44,0.4796,0,130,3.08
_Spw_ZGCeao,Sound object arch & chamber transitions,"Sep 18, 2024",43,0.4682,0,276,7.97
ufI3NaZauRc,Curved speaker array tunnel,"Feb 20, 2024",41,0.1451,0,656,4.88
UK6MUHz_FKY,Small frame rises through large frame     #frame #soundframe #speakerarray #speakers #soundobject,"Oct 29, 2024",40,1.7427,0,223,1.35
jQQc8zHAXvg,Sound object playing piece moves,"Oct 1, 2024",34,0.2839,0,293,7.51
8EromQumXH0,Sound object stairs wrap around elevator              #elevator #stairs #wraparound #speakerarray,"Oct 18, 2024",33,0.2208,0,260,1.15
_VuvnCIjg8I,Speaker array torus triple stack,"Mar 10, 2024",32,0.1483,0,94,31.91
MxlZ_T4YkEA,Sound object dice moves,"Sep 27, 2024",29,0.4474,0,206,11.17
z3zBfRZpwPA,Sound Cube Room & Sound Sphere Entrance,"Jan 29, 2024",28,0.215,0,661,3.18
9iDtB5ie6AM,3D Speaker Array Sound Pyramid Room,"Dec 24, 2023",27,0.2098,0,389,2.31
qxr93H9pG-U,Pair of horizontal speakers forming 6 sound objects,"Feb 13, 2024",27,0.0909,0,340,7.65
As2NM97Fm9k,Sound Cube Room,"Feb 5, 2024",25,0.1087,0,351,5.98
yQA1odRFsqI,4 sound object elevators                                    #elevator #lift #soundlift #musimorph,"Oct 16, 2024",24,0.5068,0,900,1.44
TNliwUTt5g0,Sound objects in ring speaker array,"Feb 16, 2024",18,0.0629,0,339,5.31
WJiw9sL6DNo,Sound Pyramid & Sound Cube Rooms,"Jan 30, 2024",18,0.1401,0,335,2.69
9G_9kOLFM7I,Sound object dice shaker,"Sep 30, 2024",17,0.1689,0,126,5.56
J6k_oPx-lVU,Sound cube walls,"Mar 23, 2024",16,0.0622,1,162,6.79
N-idCBKuh54,Fly through sound cylinder columns and then sound sphere columns,"Dec 29, 2023",16,0.0827,0,212,4.72
cSakkUue970,Rise of 4 different sound object towers,"Jul 11, 2024",16,0.23,0,61,11.48
dcPOt00ZD7k,3D speaker array ring tunnel,"Feb 18, 2024",16,0.0609,0,208,6.73
N24o1v4T4I0,Wide sound cube towers,"Aug 21, 2024",15,0.1781,0,65,10.77
6zKIKzATl40,Curved arch sound object tunnel,"Apr 1, 2024",14,0.0381,0,73,17.81
saDWSIFA78w,Double ring speaker array surrounded by speaker array rings,"Jun 12, 2024",14,0.0426,0,122,6.56
0xz_RRk4z_o,4 corners 4 different sound object towers,"Jul 1, 2024",13,0.3954,0,121,8.26
WSLXcbKawoE,Sound Cone and Sound Pyramid Tunnel,"Feb 9, 2024",12,0.0417,0,235,4.26
gckLKfP-CMc,Sound object frames going inward                #frame #soundobject #speakers #core #speakerarray,"Oct 5, 2024",11,0.235,0,85,3.53
