Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,5085,40.3447,0:00:28,48219,5.55
Suggested videos,2267,15.6513,0:00:24,27536,7
Shorts feed,1384,13.5224,0:00:35,,
Browse features,562,3.1487,0:00:20,9048,5.06
Playlists,223,1.3539,0:00:21,1186,7.17
Channel pages,220,3.1446,0:00:51,4393,3.14
Other YouTube features,139,1.0362,0:00:26,,
YouTube search,118,0.7308,0:00:22,6056,1.12
External,93,1.0912,0:00:42,,
End screens,32,0.2968,0:00:33,,
Direct or unknown,31,0.2569,0:00:29,,
Notifications,10,0.0863,0:00:31,,
Sound pages,3,0.0072,0:00:08,,
Related Shorts,2,0.0145,0:00:26,,
Video cards and annotations,1,0.0042,0:00:15,,
