Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Average view duration,Impressions,Impressions click-through rate (%)
ilwP8vkZ0p4,Corridor of sound objects,"Feb 14, 2024",3776,20.146,17,0:00:19,35108,8.09
lTjB9oc_60w,Lounge switch,"Sep 6, 2024",200,0.6921,2,0:00:12,3661,2.9
 -pQYwDUKW6w,Sound object T shape to stepped hollow,"Jul 27, 2024",204,1.2106,1,0:00:21,2406,3.33
2U4-0bPW8rI,Rising sound object frames,"Jul 28, 2024",125,0.4395,1,0:00:12,1217,2.55
2cl4wvpK98Q,Hammering a nail with sound objects,"Aug 29, 2024",124,0.5518,1,0:00:16,1715,3.21
90vn-KaFyEY,"Sound cone, cylinder & sphere nail","Aug 5, 2024",230,0.796,1,0:00:12,4818,2.7
As2NM97Fm9k,Sound Cube Room,"Feb 5, 2024",255,1.1656,1,0:00:16,1578,7.73
DkLtMEmXpGw,Tall & short sound object towers,"Aug 14, 2024",189,1.9358,1,0:00:36,1972,4.11
EFHchwibd2g,Sound object milling machine,"Aug 25, 2024",57,0.2271,1,0:00:14,1458,0.69
J-jEXtcFTEw,Sound Cylinder Room & Sound Sphere Room,"Feb 4, 2024",1085,9.0151,1,0:00:29,12403,5.27
J6k_oPx-lVU,Sound cube walls,"Mar 23, 2024",251,1.1357,1,0:00:16,825,9.58
TsbPrkS4ZRY,Speaker switches direction,"Jul 19, 2024",208,0.9637,1,0:00:16,1182,5.25
U7JHTvqlTPI,Sound object tunnels & transitions,"Sep 29, 2024",99,0.9868,1,0:00:35,2052,2.63
WJiw9sL6DNo,Sound Pyramid & Sound Cube Rooms,"Jan 30, 2024",383,2.6395,1,0:00:24,2922,5.03
Zw-Fx3qejCQ,Speaker array curtain,"Jun 21, 2024",267,1.4162,1,0:00:19,2056,8.17
c8Zl6qzSUSY,Sound object labyrinth,"Sep 20, 2024",120,1.7377,1,0:00:52,3865,0.85
ipujIGSpnfQ,Sound object lighthouse           #lighthouse #soundhouse #soundlighthouse #musimorph #soundobject,"Sep 22, 2024",315,1.5621,1,0:00:17,362,0.55
saDWSIFA78w,Double ring speaker array surrounded by speaker array rings,"Jun 12, 2024",55,0.1839,1,0:00:12,684,5.99
sb3aF9vZSkM,Seven seater lounge made with sound objects,"Sep 4, 2024",133,0.4839,1,0:00:13,1838,3.21
yIbiM0MgheE,Sound object flower opens               #soundlife #flower #musimorph #soundplant #soundobject,"Sep 21, 2024",184,1.8057,1,0:00:35,518,2.51
z3zBfRZpwPA,Sound Cube Room & Sound Sphere Entrance,"Jan 29, 2024",466,3.8478,1,0:00:29,3589,5.15
 -TNy_4h19mw,Sound object frames descending,"Jul 29, 2024",201,0.7073,0,0:00:12,1813,2.7
 -cswUVHXMcM,Up & down sound object towers,"Apr 3, 2024",239,4.2619,0,0:01:04,1512,6.22
02AwFSwk3zs,Bridge of sound cubes,"May 10, 2023",60,0.4521,0,0:00:27,226,5.75
0xz_RRk4z_o,4 corners 4 different sound object towers,"Jul 1, 2024",336,6.4351,0,0:01:08,2711,4.61
1nsvj3X_ldI,3D speaker array lines of sound spheres,"Nov 21, 2023",22,0.2223,0,0:00:36,155,2.58
2G7gAERUEhs,Pyramid and cubes made from sound objects,"May 14, 2023",9,0.0511,0,0:00:20,144,3.47
2PnYtpD9a8s,Moving through a sound object tunnel,"Apr 8, 2023",35,0.1623,0,0:00:16,284,7.04
2pPjMNSb6rI,Sound cylinder towers rising,"Jul 24, 2024",168,0.7693,0,0:00:16,1435,3.14
2x0JXMcSzM8,Matching sound object blocks,"Sep 25, 2024",47,0.2529,0,0:00:19,381,2.36
39mV8kl3wZs,Sound object elevator          #elevator #lift #soundelevator #soundlift #musimorph #soundmovement,"Sep 24, 2024",313,2.9868,0,0:00:34,228,6.58
4boAjuA40Gw,Sound object tunnels and scaffolds,"May 6, 2023",21,0.1178,0,0:00:20,251,4.78
4uXQTuI0NDw,Rotating around sound object scaffolds,"May 13, 2023",126,0.3763,0,0:00:10,2225,4.54
5VVgCXMzKlA,Sound object dining room switches to study,"Aug 15, 2024",73,0.3005,0,0:00:14,504,2.58
5sdFq1BQaoo,Sound spheres to sound cubes in a 3D speaker array,"Oct 17, 2023",11,0.029,0,0:00:09,322,3.11
5yj1QksL1Q4,Sound object mountains,"Jul 23, 2024",113,0.4288,0,0:00:13,893,5.26
63uVc-22ByY,Sound object cube,"Apr 14, 2023",8,0.0242,0,0:00:10,83,7.23
6lSZjjZfuuU,Distant view of sound cube bridge,"May 11, 2023",5,0.0117,0,0:00:08,86,1.16
6zKIKzATl40,Curved arch sound object tunnel,"Apr 1, 2024",97,0.4034,0,0:00:14,310,6.13
7FOxDCD2CkA,"Sound pyramid, sphere & cube","Dec 8, 2022",8,0.0216,0,0:00:09,82,4.88
7ICkjenA2ko,3D Speaker Array Sound Cube Walls,"Dec 17, 2023",68,0.3678,0,0:00:19,621,2.74
7SDou-hDI_c,Moving between sound scaffolds,"Apr 25, 2023",10,0.0252,0,0:00:09,187,4.81
7TtOqSjKuH4,Pyramids made of sound pyramids,"May 13, 2023",21,0.1086,0,0:00:18,122,7.38
91P3LD7rqBE,6 Sound Objects,"Apr 15, 2023",11,0.0577,0,0:00:18,67,10.45
9G_9kOLFM7I,Sound object dice shaker,"Sep 30, 2024",49,0.7288,0,0:00:53,212,3.77
9GtQc9Q5SNw,Sound object scissors,"Sep 13, 2024",107,0.3397,0,0:00:11,1230,4.63
