Geography,Views,Watch time (hours),Average view duration
Total,22396,138.1732,0:00:22
AU,6198,56.8788,0:00:33
IN,1383,6.3354,0:00:16
US,1281,9.1565,0:00:25
JO,734,3.7586,0:00:18
VN,637,2.9445,0:00:16
BR,559,2.7983,0:00:18
RU,355,1.4493,0:00:14
PH,218,1.0481,0:00:17
DE,185,0.6202,0:00:12
MY,156,0.7168,0:00:16
ID,150,0.6017,0:00:14
CL,104,0.3171,0:00:10
KZ,103,0.3997,0:00:13
GB,75,0.1916,0:00:09
PL,60,0.144,0:00:08
KH,57,0.2584,0:00:16
CA,54,0.2755,0:00:18
FR,45,0.1642,0:00:13
HU,44,0.1018,0:00:08
BY,43,0.1139,0:00:09
CZ,42,0.1149,0:00:09
NL,42,0.1088,0:00:09
JP,41,0.177,0:00:15
KR,40,0.1691,0:00:15
SE,40,0.1034,0:00:09
UA,35,0.0859,0:00:08
BG,23,0.0747,0:00:11
FI,23,0.0552,0:00:08
PK,23,0.1215,0:00:19
OM,21,0.0859,0:00:14
IT,17,0.0414,0:00:08
DZ,16,0.1061,0:00:23
SK,14,0.0365,0:00:09
AR,13,0.0188,0:00:05
BE,13,0.1247,0:00:34
CH,13,0.0467,0:00:12
GR,13,0.0318,0:00:08
NO,13,0.03,0:00:08
CO,12,0.0316,0:00:09
BD,11,0.0333,0:00:10
ES,11,0.0208,0:00:06
AT,10,0.0305,0:00:10
CN,10,0.0414,0:00:14
DK,10,0.0194,0:00:06
IL,10,0.0239,0:00:08
MX,10,0.1112,0:00:40
RO,10,0.0348,0:00:12
SA,10,0.0365,0:00:13
UZ,10,0.0352,0:00:12
ZA,10,0.0309,0:00:11
IE,0,0,
IQ,0,0,
LT,0,0,
TR,0,0,
