Date,Tweets published,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
30/05/2023,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/06/2023,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/06/2023,0,100,12,0.12,2,0,8,0,0,0,0,0,0,0,0,0,0,11,2
3/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/06/2023,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/06/2023,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/06/2023,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/06/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/06/2023,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/06/2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/06/2023,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/06/2023,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/06/2023,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/06/2023,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/06/2023,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/06/2023,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/06/2023,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/06/2023,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/06/2023,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/06/2023,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/06/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
