Date,Geography,Views
2024-10-20,AU,0
2024-10-21,AU,0
2024-10-22,AU,0
2024-10-23,AU,0
2024-10-24,AU,32
2024-10-25,AU,0
2024-10-26,AU,38
2024-10-27,AU,0
2024-10-28,AU,0
2024-10-29,AU,34
2024-10-30,AU,0
2024-10-31,AU,34
2024-11-01,AU,0
2024-11-02,AU,0
2024-11-03,AU,43
2024-11-04,AU,0
2024-11-05,AU,45
2024-11-06,AU,31
2024-11-07,AU,0
2024-11-08,AU,0
2024-11-09,AU,47
2024-11-10,AU,43
2024-11-11,AU,0
2024-11-12,AU,81
2024-11-13,AU,0
2024-11-14,AU,0
2024-11-15,AU,0
2024-11-16,AU,0
2024-10-20,ES,0
2024-10-21,ES,0
2024-10-22,ES,0
2024-10-23,ES,0
2024-10-24,ES,0
2024-10-25,ES,0
2024-10-26,ES,0
2024-10-27,ES,0
2024-10-28,ES,0
2024-10-29,ES,0
2024-10-30,ES,0
2024-10-31,ES,0
2024-11-01,ES,0
2024-11-02,ES,0
2024-11-03,ES,0
2024-11-04,ES,0
2024-11-05,ES,0
2024-11-06,ES,0
2024-11-07,ES,0
2024-11-08,ES,0
2024-11-09,ES,0
2024-11-10,ES,0
2024-11-11,ES,0
2024-11-12,ES,0
2024-11-13,ES,0
2024-11-14,ES,0
2024-11-15,ES,10
2024-11-16,ES,0
2024-10-20,ID,0
2024-10-21,ID,0
2024-10-22,ID,0
2024-10-23,ID,0
2024-10-24,ID,0
2024-10-25,ID,0
2024-10-26,ID,0
2024-10-27,ID,0
2024-10-28,ID,0
2024-10-29,ID,0
2024-10-30,ID,0
2024-10-31,ID,0
2024-11-01,ID,0
2024-11-02,ID,0
2024-11-03,ID,0
2024-11-04,ID,0
2024-11-05,ID,0
2024-11-06,ID,0
2024-11-07,ID,0
2024-11-08,ID,0
2024-11-09,ID,0
2024-11-10,ID,0
2024-11-11,ID,0
2024-11-12,ID,0
2024-11-13,ID,0
2024-11-14,ID,0
2024-11-15,ID,12
2024-11-16,ID,0
2024-10-20,IN,0
2024-10-21,IN,0
2024-10-22,IN,0
2024-10-23,IN,0
2024-10-24,IN,0
2024-10-25,IN,0
2024-10-26,IN,13
2024-10-27,IN,0
2024-10-28,IN,0
2024-10-29,IN,0
2024-10-30,IN,0
2024-10-31,IN,0
2024-11-01,IN,0
2024-11-02,IN,11
2024-11-03,IN,0
2024-11-04,IN,11
2024-11-05,IN,0
2024-11-06,IN,0
2024-11-07,IN,0
2024-11-08,IN,0
2024-11-09,IN,0
2024-11-10,IN,0
2024-11-11,IN,10
2024-11-12,IN,10
2024-11-13,IN,0
2024-11-14,IN,0
2024-11-15,IN,0
2024-11-16,IN,0
2024-10-20,MY,11
2024-10-21,MY,0
2024-10-22,MY,0
2024-10-23,MY,0
2024-10-24,MY,0
2024-10-25,MY,0
2024-10-26,MY,0
2024-10-27,MY,0
2024-10-28,MY,0
2024-10-29,MY,0
2024-10-30,MY,0
2024-10-31,MY,0
2024-11-01,MY,0
2024-11-02,MY,0
2024-11-03,MY,0
2024-11-04,MY,0
2024-11-05,MY,0
2024-11-06,MY,0
2024-11-07,MY,0
2024-11-08,MY,0
2024-11-09,MY,0
2024-11-10,MY,0
2024-11-11,MY,0
2024-11-12,MY,0
2024-11-13,MY,0
2024-11-14,MY,0
2024-11-15,MY,0
2024-11-16,MY,0
2024-10-20,US,0
2024-10-21,US,0
2024-10-22,US,0
2024-10-23,US,0
2024-10-24,US,0
2024-10-25,US,0
2024-10-26,US,0
2024-10-27,US,0
2024-10-28,US,0
2024-10-29,US,0
2024-10-30,US,0
2024-10-31,US,11
2024-11-01,US,0
2024-11-02,US,10
2024-11-03,US,0
2024-11-04,US,0
2024-11-05,US,0
2024-11-06,US,0
2024-11-07,US,0
2024-11-08,US,0
2024-11-09,US,10
2024-11-10,US,0
2024-11-11,US,0
2024-11-12,US,0
2024-11-13,US,0
2024-11-14,US,0
2024-11-15,US,16
2024-11-16,US,0
