Geography,Views,Watch time (hours),Average view duration
Total,5085,40.3447,0:00:28
IN,517,2.881,0:00:20
AU,484,15.2404,0:01:53
RU,405,1.3957,0:00:12
PH,197,1.1347,0:00:20
VN,105,0.469,0:00:16
PL,64,0.1969,0:00:11
DE,60,0.1643,0:00:09
EC,56,0.1792,0:00:11
UA,47,0.1125,0:00:08
MX,38,0.086,0:00:08
NL,36,0.1164,0:00:11
ID,34,0.1455,0:00:15
US,33,0.18,0:00:19
FR,28,0.0776,0:00:09
UZ,26,0.0857,0:00:11
CO,22,0.0841,0:00:13
BR,21,0.1093,0:00:18
CZ,12,0.0252,0:00:07
BD,10,0.0326,0:00:11
FI,10,0.0304,0:00:10
JO,10,0.0619,0:00:22
KR,10,0.031,0:00:11
LT,10,0.0313,0:00:11
SE,10,0.0216,0:00:07
BG,0,0,
GB,0,0,
JP,0,0,
LV,0,0,
RO,0,0,
