Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,2170,7.9708,0:00:13,30682,3.99
YouTube search,1114,3.6757,0:00:11,19815,4.28
External,339,1.4491,0:00:15,,
Browse features,293,0.7905,0:00:09,4220,5.4
Other YouTube features,115,0.4739,0:00:14,,
Channel pages,102,0.704,0:00:24,2897,1.52
Suggested videos,91,0.3,0:00:11,3266,1.9
Playlists,55,0.2411,0:00:15,484,8.47
Direct or unknown,27,0.0475,0:00:06,,
Shorts feed,21,0.1406,0:00:24,,
Hashtag pages,5,0.1236,0:01:29,,
Notifications,3,0.0126,0:00:15,,
